관광지,전체내용
보신각,좋아요 : 도심속의  한옥무더운 여름에 방문하면 낭패봅니다그늘에 쉴만한곳도 없습니다동선은 짧아서 짧은시간 관람 가능하며보신각종 앞에까지는 못가게 작은 울타리 쳐져있습니다도심이라 자차보다는 대중교통 이용하시면되고요굳이 자차를 이용하신다면주변 공영주차장 확인후 출발관람은 남녀노소 무료입니다
보신각,"보신각 : 매년 새해가 되면 제야의 종을 타종하는 곳이다. 평상시에는 그냥 종이 위치한 장소이지만, 시민들이 쉬어가거나 도심 내에 한국적인 건물이 지어져 있어서, 인상적인 느낌을 주기도 한다."
보신각,"벨 파빌리온 : 청계천으로가는 길에이 건물을지나 갔다. 간판은 벨 파빌리온으로 그것을 소개했습니다. 불행히도, 파빌리온 입구는 줄을 벗어나기 때문에 입장 할 수 없었습니다."
보신각,"종로 1가 역사 유적지 : 이것은 거대한 종소리가 들려있는 파빌리온입니다.이곳은 역사적인 장소이기 때문에, 새해 맞이에 여기에서 종을 울리는 것은 나라에서 가장 기대되는 행사입니다. 매우 붐비는. 가입을 원하지 않으면이 지역을 피하십시오.종로 1가 교차로에 위치하여 쉽게 접근 할 수 있습니다.내부로의 접근은 허용되지 않습니다. 거의 혼잡하지 않았습니다. 벨이 울리는 것과 같은 이벤트가있을 때 방문하는 것이 좋습니다."
국립민속박물관,국내인들도 한번 가볼만 하다. : 국내인들도 그냥 가볼만 하다.경복궁 한바퀴 돌고 사진찍고 나오면 있는 곳인데 그러면서 한번 들르면 된다.나에겐 딱히 의미가 있진 않다.
국립민속박물관,"부모님과 방문하면 좋아요 : 나이드신 부모님과 방문하면  옛 생각에 입가에 미소가 절로어머 이것봐, 옛날엔 이랬지 하시며 말씀이 많아지시구요 손자 손녀들과 함께 보러오신 분들도 보기 좋아보이더라구요. 예전 시대를 배경으로 타임머신 타고간듯 즐거운 시간 가능합니다"
국립민속박물관,아이들과 꼭 가봐야하는 곳 : 아이들과 방학때나 주말에 꼭 한번은 가 보는 곳입니다 .도심속에 있어서 편리한 대중교통으로 아이들에게 교육적인 곳을 데리고 갈 수 있는것이 좋아요
국립민속박물관,"경복궁이 덥다면 여기는 시원하다 : 외국인 데리고 경복궁을 방문하는데 날씨나 환경으로 인해서 경복궁을 관람할 수 없는 환경이라고 한다면 여기만큼 좋은곳은 없다. 무료로 입장이 가능한 곳이며 각 나라의 언어별로 설명을 들을 수 있고, 굳이 설명이 아니더라도 눈으로 둘러보기 충분한 가치를 가지고 있다 전체적으로 둘러보는데 걸리는 시간은 짧으면 20분 길게 잡으면 1시간 정도 걸린다"
국립민속박물관,"국립 민속 박물관 : 경복궁 안에 위치한 국립 민속 박물관, 어린이들 역사 공부도 할겸 겸사겸사 가본 곳이다. 건물이 웅장해서 사진 찍는 사람들이 많았다."
국립민속박물관,국립 민속 박물관 : 이곳은 국립 고궁 박물관 과 마찬가지로 경복궁 내에 자리해 있으며 외부에서도 출입이 가능하다 또한 입장료는 없다. 이곳은 고궁 박물관에 비한다면 사실 별로 볼것은 없다고 느껴지는 곳이며 전시 물품 조차도 적은 편이다. 하지만 그만큼 시간이 많이 소요되지는 않으니 경복궁에 왔다면 같이 방문해보길 바란다.금요일에는 9시까지 연장 영업 한다.
