여행지,주소,행정구역,시군구,분류,트립어드바이저평점
전쟁기념관,"용산구 이태원로 29, 서울",서울시,용산구,군사 박물관,4.5
홍릉수목원,"동대문구 회기로 57, 서울, 대한민국",서울시,동대문구,공원,4.5
아차산북한산국립공원,"성북구 보국문로 262, 서울",서울시,성북구,국립공원,4.5
이화벽화마을,"종로구 이화동, 서울",서울시,종로구,인근 지역,4
한강시민공원,서울,서울시,전체,공원,4.5
서울숲,"성동구 뚝섬로 273, 서울",서울시,성동구,공원 • 놀이터,4.5
세종대왕기념관,"동대문구 청량리동 산1-157, 서울",서울시,동대문구,역사박물관,4.5
서울 약령시장,"동대문구 약령중앙로8길 10, 서울, 대한민국",서울시,동대문구,특산물 & 기념품 가게,4.5
길상사,"성북구 선잠로5길 68, 서울",서울시,성북구,종교적인 장소,4.5
북악산 서울 한양도성,"622-83 Changsin-dong, 서울",서울시,성북구,역사적인 장소 • 고대 유적 • 전망대 & 타워,4.5
도봉산,"도봉구 도봉산길, 서울",서울시,도봉구,기타 야외 활동,5
태릉,"화랑로 421, 서울",서울시,중랑구,역사적인 장소,4
독립문,"서대문구 현저동 941, 서울",서울시,서대문구,역사적인 장소,4
서대문형무소,"서대문구 통일로 484, 서울",서울시,서대문구,교육적인 장소 • 역사박물관,4.5
절두산 순교성지와 양화진외국인선교사묘원,"마포구 양화진길 46, 서울",서울시,마포구,묘지,5
선유도공원,"영등포구 선유로 343, 서울",서울시,영등포구,공원,4.5
여의도공원,"영등포구 여의공원로 68, 서울",서울시,영등포구,공원,4.5
63스퀘어,"영등포구 63로 50, 서울",서울시,영등포구,건축물,4
국립서울현충원,"동작구 현충로 210, 서울",서울시,동작구,묘지,4.5
관악산,"관악구 관악로, 서울",서울시,관악구,기타 야외 활동,4.5
헌인릉,"서초구 헌인릉길 34 , 서울",서울시,서초구,역사적인 장소,4.5
봉은사,"강남구 삼성동 73, 서울",서울시,강남구,즐길거리 & 랜드마크 • 종교적인 장소,4.5
롯데월드,"송파구 올림픽로 240, 서울",서울시,송파구,놀이공원 & 테마파크,4
방이동 백제 고분군,서울 송파구 방이동,서울시,송파구,역사적인 장소,3.5
몽촌토성,"송파구 올림픽로 424, 서울",서울시,송파구,역사적인 장소 • 경관이 좋은 산책로,4.5
올림픽공원,"송파구 올림픽로 424, 서울",서울시,송파구,스포츠 컴플렉스 • 공원,4.5
