,리뷰
165,"천주교 전주교구 전동성당-->100여년의 역사가 담긴, 순교의 역사를 만날 수있었어요.오래된 붉은 벽돌의 아담한 성당이예요.내부에는 경건한 마음으로 예배드릴 수 있고,낡았지만 깔끔하고, 따뜻한 분위기도 좋았어요."
166,천주교 전주교구 전동성당-->사진찍기 좋은곳
167,"천주교 전주교구 전동성당-->신성한 종교 시설이 관광지처럼 되어서 좀 그렇지만, 건물들이 이뻐서 사진찍기 좋네요. 성당이라서 아침 일찍과 저녁에는 출입이 통제됩니다."
168,천주교 전주교구 전동성당-->130년  된  고딕양식 성당
169,천주교 전주교구 전동성당-->잘 보존되어있고 외관도 수려한 성당입니다.130년이나 되었다네요.마치 유럽의 성당을 보는 느낌입니다.밤에는 조명으로 신비롭게보여요
170,천주교 전주교구 전동성당-->한옥마을과는 분위기가 조금다릌 이색적인곳
171,천주교 전주교구 전동성당-->한옥마을이 조선시대 느낌이라면 이것은 근현대 느낌이 나는 건물 오래된 교회라 분위기가 있다 개장 폐장 시간이 정해져 있으니 시간을 확인하고 방문해야 된다
172,천주교 전주교구 전동성당-->아름다운 근대 건축물
173,"천주교 전주교구 전동성당-->1914년에 완공된 아름다운 성당 입니다. 한국에 그리 많지 않은 근대 건축물인데다, 로마네스크 양식의 주조와 비잔틴 풍의 돔이 독특한 아름다움을 품고 있어서 아주 소중한 건축물이라 할 수 있습니다."
174,천주교 전주교구 전동성당-->건물 자체는 단촐하지만
